Date;Temp_high_F;Temp_low_F;N_runners;N_finishers;Finish_percent;First_place_time;First_man_time;First_woman_time;Distance_miles;Snow;River_Crossing;;;;
28/06/2025;95;69;369;285;77,2;14:11;14:11;16:37:16;100.2;;;;;;
29/06/2024;94;63;375;286;76,3;14:13;14:13;15:46:57;100.2;;;;;;
24/06/2023;80;51;379;328;86,5;14:40;14:40;15:29:34;100.2;moderate;boats;;;;
25/06/2022;97;70;383;305;79,6;15:13;15:13;17:21:30;100.2;;;;;;
26/06/2021;101;73;315;208;66;14:46;14:46;17:10:42;100.2;;;;;;
27/06/2020;93;66;NA;NA;NA;cancelled;NA;NA;NA;;;;;;
29/06/2019;83;57;369;319;86,4;14:09;14:09;17:23:24;100.2;moderate;boats;;;;
23/06/2018;98;61;369;299;81;14:30;14:30;17:27:00;100.2;;;;;;
24/06/2017;95;75;369;248;67,2;16:19;16:19;19:31:31;100.2;moderate;boats;;;;
25/06/2016;93;60;353;280;79,3;15:39;15:39;17:57:59;100.2;;;;;;
27/06/2015;91;73;371;254;68,5;14:48;14:48;19:05:21;100.2;;;;;;
28/06/2014;89;59;376;296;78,7;14:53;14:53;18:01:42;100.2;;;;;;
29/06/2013;102;73;383;277;72,3;15:17;15:17;18:37:21;100.2;;;;;;
23/06/2012;71;51;381;316;82,9;14:46;14:46;16:47:19;100.2;;;;;;
25/06/2011;82;60;375;310;82,7;15:34;15:34;17:55:29;100.2;Snow Route;boats;;;;
26/06/2010;91;66;423;328;77,5;15:07;15:07;19:01:55;100.2;Snow Route;boats;;;;
27/06/2009;99;61;399;238;59,6;16:24;16:24;18:24:17;100.2;;;;;;
28/06/2008;87;69;NA;NA;NA;cancelled;NA;NA;NA;;;;;;
23/06/2007;87;53;392;270;68,9;16:12;16:12;18:12:38;100.2;;;;;;
24/06/2006;101;60;399;210;52,6;18:17;18:17;19:26:51;100.2;moderate;boats;;;;
25/06/2005;78;51;400;317;79,3;16:40;16:40;18:39:01;100.2;moderate;boats;;;;
26/06/2004;87;57;366;278;76;15:36;15:36;18:43:25;100.2;;;;;;
28/06/2003;98;60;405;272;67,2;16:01;16:01;18:36:03;100.2;;;;;;
29/06/2002;89;58;372;255;68,5;16:19;16:19;18:16:26;100.2;;;;;;
23/06/2001;84;51;396;267;67,4;16:38;16:38;18:33:34;100.2;;;;;;
24/06/2000;89;53;385;222;57,7;17:15;17:17;19:44:42;100.2;;;;;;
26/06/1999;88;52;335;216;64,5;17:34;17:34;21:23:39;100.2;;;;;;
27/06/1998;87;50;381;258;67,7;17:51;17:51;18:46:16;?;Snow Route;boats;;;;
28/06/1997;82;54;369;257;69,6;15:40;15:40;19:19:49;100.2;;;;;;
29/06/1996;90;54;373;227;60,9;17:42;17:42;18:57:36;100.2;;;;;;
24/06/1995;104;68;371;198;53,4;18:34;18:34;18:40:01;?;Snow Route;boats;;;;
25/06/1994;91;58;379;249;65,7;16:51;16:51;17:37:51;100.2;;;;;;
26/06/1993;101;65;387;209;54;17:08;17:08;19:05:22;100.2;moderate;boats;;;;
27/06/1992;82;57;374;230;61,5;16:54;16:54;18:14:48;100.2;;;;;;
29/06/1991;66;52;368;242;65,8;15:54;15:54;18:29:37;100.2;;;;;;
23/06/1990;87;52;351;208;59,3;16:38;16:38;18:33:02;100.2;;;;;;
24/06/1989;84;58;372;246;66,1;16:53;16:53;18:47:46;100.2;;;;;;
25/06/1988;88;61;341;250;73,3;16:24;16:24;18:52:40;100.2;;;;;;
27/06/1987;98;54;353;183;51,8;17:41;17:41;21:23:37;100.2;;;;;;
28/06/1986;88;60;415;210;50,6;16:37;16:37;20:58:16;100.2;;;;;;
06/07/1985;98;73;294;163;55,4;16:02;16:02;20:30:03;100.2;;;;;;
07/07/1984;101;68;369;250;67,8;14:54;14:54;20:04:00;93.5;;;;;;
25/06/1983;89;54;282;196;69,5;16:07;16:07;19:11:00;?;Snow Route;boats;;;;
26/06/1982;84;57;278;176;63,3;16:17;16:17;18:23:00;93.5;;;;;;
27/06/1981;97;58;251;146;58,2;16:02;16:02;18:46:00;93.5;;;;;;
28/06/1980;94;57;251;124;49,4;18:35;18:35;22:13:44;93.5;moderate;boats;;;;
07/07/1979;85;55;143;96;67,1;16:11;16:11;21:56:27;89;;;;;;
24/06/1978;80;54;63;30;47,6;18:50;18:50;29:34:00;89;;;;;;
30/07/1977;102;60;14;3;21,4;22:57;22:57;NA;89;;;;;;
10/07/1976;90;58;1;1;100;24:30:00;24:30:00;NA;89;;;;;;
26/07/1975;99;60;1;0;0;;NA;NA;89;;;;;;
03/08/1974;92;61;1;1;100;23:42;23:42:20;NA;89;;;;;;
